Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides YAL6Bproteome	Razor + unique peptides YAL6Bproteome	Unique peptides YAL6Bproteome	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Sequence coverage YAL6Bproteome [%]	Intensity	Intensity YAL6Bproteome	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YOR272W	YOR272W	11	11	11	>YOR272W pep:known chromosome:R64-1-1:XV:832813:834195:1 gene:YOR272W transcript:YOR272W description:Constituent of 66S pre-ribosomal particles, forms a complex with Nop7p and Erb1p that is required for maturation of the large ribosomal subunit\x3b has se	1	11	11	11	11	11	11	35	35	35	51.358	460	460	4.37	2	1	5	3	14	5			0	165.98	35	5606100000	5606100000	28				3262	5490;9734;11934;12184;18300;20841;25853;27552;28796;29008;29853	True;True;True;True;True;True;True;True;True;True;True	5758;10194;12479;12738;19271;21925;27172;28971;30270;30497;31390	15530;27724;33606;33607;33608;34435;34436;50907;57222;57223;57224;57225;57226;71182;71183;71184;76067;79894;79895;79896;79897;79898;79899;80606;80607;80608;80609;83185;83186;83187	17674;31834;38447;38448;38449;39433;39434;57774;64713;64714;64715;64716;64717;80524;80525;80526;86033;90556;90557;90558;90559;90560;90561;91360;91361;91362;91363;94335;94336;94337	17674;31834;38449;39433;57774;64715;80525;86033;90561;91363;94335		
YOR273C	YOR273C	3	3	3	>YOR273C pep:known chromosome:R64-1-1:XV:834452:836431:-1 gene:YOR273C transcript:YOR273C description:Polyamine transport protein, recognizes spermine, putrescine, and spermidine\x3b localizes to the plasma membrane\x3b member of the major facilitator sup	1	3	3	3	3	3	3	7.4	7.4	7.4	73.222	659	659	6.5					1	2	2	1	0	9.8394	7.4	197470000	197470000	6				3263	22273;24090;25371	True;True;True	23417;25319;26662	61099;61100;66092;66093;66094;69628	69101;69102;74765;74766;74767;78720	69101;74765;78720		
YOR274W	YOR274W	8	8	8	>YOR274W pep:known chromosome:R64-1-1:XV:837674:838960:1 gene:YOR274W transcript:YOR274W description:Delta 2-isopentenyl pyrophosphate\x3atRNA isopentenyl transferase, required for biosynthesis of the modified base isopentenyladenosine in mitochondrial an	1	8	8	8	8	8	8	19.4	19.4	19.4	50.236	428	428	4.2				8	2				0	12.425	19.4	446620000	446620000	10				3264	10957;11733;14352;17474;20334;21842;26459;27857	True;True;True;True;True;True;True;True	11462;12269;14978;18324;21400;22976;27816;29293	31112;33163;40147;48790;55980;60017;60018;72997;72998;77019	35733;37975;45791;55474;63388;67887;67888;82565;82566;87200	35733;37975;45791;55474;63388;67887;82565;87200		
YOR275C	YOR275C	7	6	6	>YOR275C pep:known chromosome:R64-1-1:XV:839084:841069:-1 gene:YOR275C transcript:YOR275C description:Protein involved in proteolytic activation of Rim101p in response to alkaline pH\x3b PalA/AIP1/Alix family member\x3b interaction with the ESCRT-III subu	1	7	6	6	7	6	6	13.3	12.3	12.3	75.946	661	661	6						7			0	10.815	13.3	307000000	307000000	7				3265	12743;14945;16189;17787;18918;19950;28852	False;True;True;True;True;True;True	13316;15599;16904;18730;19926;21003;30332	36134;41860;45197;49687;52477;52478;55055;80031	41395;47695;51424;56456;59527;59528;62382;90702	41395;47695;51424;56456;59528;62382;90702		
YOR276W	YOR276W	3	3	3	>YOR276W pep:known chromosome:R64-1-1:XV:841333:841818:1 gene:YOR276W transcript:YOR276W description:Phosphoprotein of the mRNA cap-binding complex involved in translational control, repressor of cap-dependent translation initiation, competes with eIF4G f	1	3	3	3	3	3	3	49.7	49.7	49.7	18.223	161	161	1.17	5	1							0	72.225	49.7	1284700000	1284700000	9				3266	9070;18539;28820	True;True;True	9485;19516;30296	25456;51475;51476;79957;79958;79959	28934;58375;58376;58377;90624;90625;90626;90627;90628	28934;58377;90627		
YOR278W	YOR278W	7	7	7	>YOR278W pep:known chromosome:R64-1-1:XV:842817:843644:1 gene:YOR278W transcript:YOR278W description:Uroporphyrinogen III synthase, catalyzes the conversion of hydroxymethylbilane to uroporphyrinogen III, the fourth step in heme biosynthesis\x3b deficienc	1	7	7	7	7	7	7	29.1	29.1	29.1	30.911	275	275	2.9		1	9						0	14.348	29.1	1316900000	1316900000	11				3267	403;5049;21193;23635;26852;28471;29554	True;True;True;True;True;True;True	432;5295;22292;24845;28235;29931;31074	1335;14394;58124;58125;65017;74046;78868;78869;82319;82320	1708;16431;65687;65688;73611;83718;89331;89332;93380;93381;93382	1708;16431;65687;73611;83718;89332;93381		
YOR280C	YOR280C	4	4	4	>YOR280C pep:known chromosome:R64-1-1:XV:844992:845792:-1 gene:YOR280C transcript:YOR280C description:Putative serine hydrolase\x3b likely target of Cyc8p-Tup1p-Rfx1p transcriptional regulation\x3b sequence is similar to S. cerevisiae Fsh1p and Fsh2p and 	1	4	4	4	4	4	4	18.8	18.8	18.8	30.418	266	266	3			6						0	7.79	18.8	490480000	490480000	6				3268	4804;14362;14803;28015	True;True;True;True	5037;14990;15449;29458	13679;13680;40169;41360;77511;77512	15664;15665;45814;47124;87758;87759	15664;45814;47124;87758		
YOR281C	YOR281C	9	9	9	>YOR281C pep:known chromosome:R64-1-1:XV:846269:847129:-1 gene:YOR281C transcript:YOR281C description:Essential protein that interacts with the CCT (chaperonin containing TCP-1) complex to stimulate actin folding\x3b has similarity to phosducins\x3b null 	1	9	9	9	9	9	9	45.1	45.1	45.1	32.793	286	286	3	1		11	2					0	40.388	45.1	1962200000	1962200000	14				3269	6901;7800;9303;14374;17265;20043;21664;23419;27502	True;True;True;True;True;True;True;True;True	7220;8158;9737;15002;18045;21100;22786;24621;28919	19370;19371;21832;26272;40195;48207;55282;55283;59572;59573;59574;64447;75943;75944	22051;22052;24842;29964;45841;54853;62644;62645;67398;67399;67400;72961;85899;85900	22051;24842;29964;45841;54853;62645;67398;72961;85900		
YOR283W	YOR283W	8	8	8	>YOR283W pep:known chromosome:R64-1-1:XV:847453:848145:1 gene:YOR283W transcript:YOR283W description:Phosphatase with a broad substrate specificity and some similarity to GPM1/YKL152C, a phosphoglycerate mutase\x3b YOR283W is not an essential gene	1	8	8	8	8	8	8	62.2	62.2	62.2	26.176	230	230	2.62	2	11	5	2				1	0	31.821	62.2	2636300000	2636300000	23				3270	3875;6341;9641;14717;19901;19956;20998;28981	True;True;True;True;True;True;True;True	4074;6641;10098;15356;20952;21009;22093;30470	11073;11074;11075;17730;27407;27408;27409;27410;27411;41095;41096;41097;41098;54948;55081;57683;57684;57685;57686;80513;80514	12607;12608;12609;12610;20157;31479;31480;31481;31482;31483;31484;46839;46840;46841;46842;62265;62410;65230;65231;65232;65233;91254;91255	12607;20157;31481;46839;62265;62410;65231;91255		
YOR285W	YOR285W	5	5	5	>YOR285W pep:known chromosome:R64-1-1:XV:849635:850054:1 gene:YOR285W transcript:YOR285W description:Protein of unknown function containing a rhodanese-like domain\x3b localized to the mitochondrial outer membrane	1	5	5	5	5	5	5	49.6	49.6	49.6	15.413	139	139	1.1	9	1							0	67.099	49.6	1632700000	1632700000	12				3271	1913;19565;20096;27108;27109	True;True;True;True;True	2037;2038;20594;20595;21155;28504;28505;28506	6142;6143;54122;54123;54124;55413;74860;74861;74862;74863	7139;7140;61399;61400;61401;62783;62784;62785;84634;84635;84636;84637	7140;61399;62783;84635;84637	1441;1442;1443	6;30;126
YOR286W	YOR286W	5	5	5	>YOR286W pep:known chromosome:R64-1-1:XV:850280:850729:1 gene:YOR286W transcript:YOR286W description:Protein with rhodanese activity\x3b contains a rhodanese-like domain similar to Rdl1p, Uba4p, Tum1p, and Ych1p\x3b overexpression causes a cell cycle dela	1	5	5	5	5	5	5	57	57	57	16.697	149	149	1	8								0	89.771	57	2900500000	2900500000	8				3272	12645;15543;17613;25055;27462	True;True;True;True;True	13215;16227;18505;26330;28876	35820;43466;43467;49154;68707;75835;75836;75837	41017;49465;49466;55872;77704;85775;85776;85777	41017;49465;55872;77704;85775		
YOR287C	YOR287C	8	8	8	>YOR287C pep:known chromosome:R64-1-1:XV:850937:851839:-1 gene:YOR287C transcript:YOR287C description:Component of 90S preribosomes\x3b involved in early cleavages of the 35S pre-rRNA and in production of the 40S ribosomal subunit	1	8	8	8	8	8	8	26	26	26	36.125	300	300	3.81			4	11	1				0	20.39	26	1221500000	1221500000	15				3273	897;3135;9483;10511;19935;22136;22471;24244	True;True;True;True;True;True;True;True	958;3303;9934;11007;20988;23275;23622;25480	2811;2812;2813;2814;9335;9336;26894;29962;29963;55032;55033;60751;60752;61608;61609;66495	3357;3358;3359;3360;10711;10712;10713;30853;34464;34465;62359;62360;68703;68704;69659;69660;75231	3358;10712;30853;34465;62359;68703;69660;75231		
YOR288C	YOR288C	7	7	7	>YOR288C pep:known chromosome:R64-1-1:XV:852121:853077:-1 gene:YOR288C transcript:YOR288C description:Member of the protein disulfide isomerase (PDI) family\x3b interacts with and inhibits the chaperone activity of Cne1p\x3b MPD1 overexpression in a pdi1 	1	7	7	7	7	7	7	21.7	21.7	21.7	36.408	318	318	3.22			7	2					0	9.2061	21.7	397560000	397560000	8				3274	6678;6679;7858;7890;16991;21555;27807	True;True;True;True;True;True;True	6989;6990;8217;8250;17733;22669;29242	18745;18746;21988;22062;47515;59230;59231;76874;76875	21369;21370;25007;25084;54103;66984;66985;86954;86955	21369;21370;25007;25084;54103;66984;86954		
YOR289W	YOR289W	7	7	7	>YOR289W pep:known chromosome:R64-1-1:XV:853357:854112:1 gene:YOR289W transcript:YOR289W description:Putative protein of unknown function\x3b transcription induced by the unfolded protein response\x3b green fluorescent protein (GFP)-fusion protein localiz	1	7	7	7	7	7	7	32.3	32.3	32.3	29.099	251	251	2		7							0	20.757	32.3	391380000	391380000	6				3275	2264;4443;9653;17597;21110;25716;30313	True;True;True;True;True;True;True	2407;4666;10112;18482;22206;27028;31863	7216;12663;27469;49076;57943;70772;84455	8391;14453;31544;55775;65500;80087;95788	8391;14453;31544;55775;65500;80087;95788		
YOR290C	YOR290C	9	9	9	>YOR290C pep:known chromosome:R64-1-1:XV:855147:860258:-1 gene:YOR290C transcript:YOR290C description:Catalytic subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation\x3b contains DNA-stimulated ATPase activity\x3b func	1	9	9	9	9	9	9	6.3	6.3	6.3	194.05	1703	1703	7.27							8	3	0	15.363	6.3	156640000	156640000	11				3276	4288;5897;12800;13610;19309;22551;22873;23379;30260	True;True;True;True;True;True;True;True;True	4504;6181;13377;14205;20325;23704;24045;24579;31808	12224;12225;16565;36279;38219;53439;53440;61822;62783;64300;84287	13956;13957;18867;41554;43699;60619;60620;69898;71011;72788;95566	13956;18867;41554;43699;60619;69898;71011;72788;95566		
YOR291W	YOR291W	5	5	5	>YOR291W pep:known chromosome:R64-1-1:XV:861175:865593:1 gene:YOR291W transcript:YOR291W description:Vacuolar protein with a possible role in sequestering heavy metals\x3b has similarity to the type V P-type ATPase Spf1p\x3b homolog of human ATP13A2 (PARK	1	5	5	5	5	5	5	3.7	3.7	3.7	166.75	1472	1472	7.33							4	2	0	16.6	3.7	129700000	129700000	6				3277	6897;7989;9350;15344;19088	True;True;True;True;True	7216;8353;9788;16015;20098	19359;22350;22351;26498;42914;52938	22038;25392;25393;30399;48839;60092	22038;25392;30399;48839;60092		
YOR294W	YOR294W	3	3	3	>YOR294W pep:known chromosome:R64-1-1:XV:868340:868951:1 gene:YOR294W transcript:YOR294W description:Essential protein that binds ribosomal protein L11\x3b required for nuclear export of the 60S pre-ribosomal subunit during ribosome biogenesis\x3b localiz	1	3	3	3	3	3	3	19.2	19.2	19.2	22.963	203	203	2	1	6	1						0	38.052	19.2	912730000	912730000	8				3278	13132;17437;18027	True;True;True	13717;18271;18272;18983	37076;37077;48664;48665;48666;48667;50268;50269	42444;42445;55340;55341;55342;55343;57086;57087	42444;55342;57086	1444	132
YOR295W	YOR295W	2	2	2	>YOR295W pep:known chromosome:R64-1-1:XV:869208:869894:1 gene:YOR295W transcript:YOR295W description:Subunit of UAF (upstream activation factor), which is an RNA polymerase I specific transcription stimulatory factor composed of Uaf30p, Rrn5p, Rrn9p, Rrn1	1	2	2	2	2	2	2	9.2	9.2	9.2	25.967	228	228	2		2							0.00795	1.5787	9.2	44587000	44587000	2				3279	5933;24010	True;True	6218;25239	16629;65917	18932;74582	18932;74582		
YOR296W	YOR296W	4	4	4	>YOR296W pep:known chromosome:R64-1-1:XV:870202:874071:1 gene:YOR296W transcript:YOR296W description:Putative protein of unknown function\x3b green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm\x3b expressed during copper starvation\	1	4	4	4	4	4	4	2.9	2.9	2.9	147.42	1289	1289	5.5	1						3		0.00063654	3.5551	2.9	38574000	38574000	4				3280	5430;14002;14757;14870	True;True;True;True	5687;14617;15399;15520	15339;39299;41202;41600	17471;44865;46953;47386	17471;44865;46953;47386		
YOR297C	YOR297C	1	1	1	>YOR297C pep:known chromosome:R64-1-1:XV:874743:875321:-1 gene:YOR297C transcript:YOR297C description:Component of the mitochondrial TIM22 complex involved in insertion of polytopic proteins into the inner membrane\x3b may mediate assembly or stability of	1	1	1	1	1	1	1	4.7	4.7	4.7	21.972	192	192	1	1								0.0023627	2.1897	4.7	49470000	49470000	1				3281	11577	True	12108	32776	37540	37540		
YOR298C-A	YOR298C-A	7	7	7	>YOR298C-A pep:known chromosome:R64-1-1:XV:877230:877685:-1 gene:YOR298C-A transcript:YOR298C-A description:Transcriptional coactivator that bridges the DNA-binding region of Gcn4p and TATA-binding protein Spt15p\x3b suppressor of frameshift mutations	1	7	7	7	7	7	7	57	57	57	16.403	151	151	1.62	15	10	4						0	70.496	57	14435000000	14435000000	31				3282	11586;13161;13162;13802;16188;27237;29724	True;True;True;True;True;True;True	12117;13746;13747;14406;16903;28638;31255	32805;32806;32807;32808;32809;37145;37146;37147;37148;38751;38752;38753;38754;45191;45192;45193;45194;45195;45196;75211;75212;75213;75214;75215;75216;82813;82814;82815;82816	37571;37572;37573;37574;37575;42513;42514;42515;42516;44288;44289;44290;44291;51416;51417;51418;51419;51420;51421;51422;51423;85026;85027;85028;85029;85030;85031;93935;93936;93937;93938	37571;42513;42516;44288;51421;85029;93936		
YOR299W	YOR299W	3	3	3	>YOR299W pep:known chromosome:R64-1-1:XV:878435:880675:1 gene:YOR299W transcript:YOR299W description:Member of the ChAPs family of proteins (Chs5p-Arf1p-binding proteins\x3a Bch1p, Bch2p, Bud7p, Chs6p), that forms the exomer complex with Chs5p to mediate 	1	3	3	3	3	3	3	4.3	4.3	4.3	84.829	746	746	5.75					1	3			0	8.442	4.3	66002000	66002000	3				3283	10748;16748;19871	True;True;True	11249;17483;20922	30538;46827;54866;54867	35109;53341;62183;62184	35109;53341;62183		
YOR301W	YOR301W	2	2	2	>YOR301W pep:known chromosome:R64-1-1:XV:880965:882272:1 gene:YOR301W transcript:YOR301W description:Protein involved in bud site selection during bipolar budding\x3b localization requires Rax2p\x3b has similarity to members of the insulin-related peptide	1	2	2	2	2	2	2	5.1	5.1	5.1	50.16	435	435	6.33					1	1		1	0	5.2203	5.1	36308000	36308000	3				3284	15272;19640	True;True	15942;20673	42703;42704;54286	48613;48614;61569	48614;61569		
YOR303W	YOR303W	7	7	7	>YOR303W pep:known chromosome:R64-1-1:XV:882899:884134:1 gene:YOR303W transcript:YOR303W description:Small subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor\x3b translationally regulate	1	7	7	7	7	7	7	23.6	23.6	23.6	45.361	411	411	4.14				6	1				0	24.706	23.6	2773500000	2773500000	7				3285	1272;5563;8373;13409;24243;29700;30195	True;True;True;True;True;True;True	1360;5836;8753;14001;25479;31230;31739	4004;15670;23379;37706;66494;82749;84030	4692;17817;26496;43129;75230;93867;95243	4692;17817;26496;43129;75230;93867;95243		
YOR304W	YOR304W	16	16	16	>YOR304W pep:known chromosome:R64-1-1:XV:884514:887876:1 gene:YOR304W transcript:YOR304W description:ATP-dependent DNA translocase involved in chromatin remodeling\x3b ATPase component that, with Itc1p, forms a complex required for repression of a-specifi	1	16	16	16	16	16	16	15.3	15.3	15.3	130.33	1120	1120	6.42		1		1	1	1	15		0	35.829	15.3	733300000	733300000	18				3286	457;7211;7472;10794;15352;16205;16364;24648;25163;26463;27729;27762;28827;29691;29711;30203	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	489;7540;7816;11296;16026;16920;17086;25895;26443;27820;29159;29193;30305;31217;31241;31747	1474;20258;20935;20936;30654;42945;45225;45708;67449;69061;73003;76626;76627;76709;76710;79971;82720;82767;84049	1859;23031;23832;23833;35231;48873;51453;52007;76272;78117;82571;86669;86670;86758;86759;90640;93836;93885;95262	1859;23031;23832;35231;48873;51453;52007;76272;78117;82571;86669;86759;90640;93836;93885;95262		
YOR308C	YOR308C	4	4	4	>YOR308C pep:known chromosome:R64-1-1:XV:894624:896387:-1 gene:YOR308C transcript:YOR308C description:Component of the U4/U6.U5 snRNP complex involved in pre-mRNA splicing via spliceosome\x3b also required for pre-5S rRNA processing and may act in concert	1	4	4	4	4	4	4	6.1	6.1	6.1	66.429	587	587	5.67					2	4			0	5.893	6.1	83151000	83151000	6				3287	4885;16211;21937;22174	True;True;True;True	5123;16926;23073;23315	13916;13917;45232;60284;60831;60832	15917;15918;51461;68205;68786;68787	15918;51461;68205;68786		
YOR310C	YOR310C	21	19	19	>YOR310C pep:known chromosome:R64-1-1:XV:896825:898360:-1 gene:YOR310C transcript:YOR310C description:Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis\x3b component of the small subunit processome complex, which is require	1	21	19	19	21	19	19	57.1	53.4	53.4	56.956	511	511	5.89	1	4	6	8	15	12	22	19	0	323.31	57.1	14640000000	14640000000	93				3288	145;951;1596;2073;5320;6412;6481;7366;10345;13676;13968;14740;15248;17694;23983;24486;24659;27260;27348;28668;29682	True;False;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	154;1017;1707;2206;5573;5574;6713;6783;6784;7708;10837;14272;14273;14582;15379;15916;18608;18609;25212;25728;25907;28666;28757;30134;31207	519;520;521;2991;2992;2993;5157;5158;5159;5160;6753;6754;6755;15044;15045;15046;15047;15048;15049;15050;15051;15052;17904;17905;17906;17907;17908;17909;18101;18102;18103;20652;20653;20654;29510;29511;29512;38393;38394;38395;38396;38397;39234;39235;39236;39237;41155;42625;42626;42627;42628;42629;42630;49347;49348;49349;49350;49351;49352;49353;65847;65848;65849;65850;65851;65852;67067;67068;67069;67070;67071;67072;67073;67074;67502;67503;67504;67505;67506;67507;75306;75554;75555;75556;75557;75558;75559;75560;79466;79467;79468;82667;82668;82669;82670;82671	761;762;763;3551;3552;3553;3554;5983;5984;5985;5986;7881;7882;7883;17144;17145;17146;17147;17148;17149;17150;17151;17152;20342;20343;20344;20345;20346;20347;20551;20552;20553;23456;23457;23458;23459;23460;33899;33900;33901;43892;43893;43894;43895;43896;44798;44799;44800;44801;46902;48530;48531;48532;48533;48534;48535;48536;56072;56073;56074;56075;56076;56077;56078;74500;74501;74502;74503;74504;74505;74506;74507;74508;74509;75857;75858;75859;75860;75861;75862;75863;75864;75865;76340;76341;76342;76343;76344;76345;76346;76347;85181;85460;85461;85462;85463;85464;85465;85466;90010;90011;90012;93771;93772;93773;93774;93775	763;3553;5984;7883;17148;20347;20552;23458;33900;43894;44800;46902;48531;56078;74501;75857;76346;85181;85463;90012;93773	1445;1446;1447;1448	131;139;182;421
YOR311C	YOR311C	4	4	4	>YOR311C pep:known chromosome:R64-1-1:XV:899056:899928:-1 gene:YOR311C transcript:YOR311C description:Diacylglycerol kinase, localized to the endoplasmic reticulum (ER)\x3b overproduction induces enlargement of ER-like membrane structures and suppresses a	1	4	4	4	4	4	4	20	20	20	32.84	290	290	2		4							0	28.574	20	250900000	250900000	4				3289	4525;9171;23210;29662	True;True;True;True	4751;9595;24400;31185	12857;25772;63644;82621	14663;29299;71940;93723	14663;29299;71940;93723		
YOR317W	YOR317W	30	30	29	>YOR317W pep:known chromosome:R64-1-1:XV:909343:911445:1 gene:YOR317W transcript:YOR317W description:Long chain fatty acyl-CoA synthetase, activates imported fatty acids with a preference for C12\x3a0-C16\x3a0 chain lengths\x3b functions in long chain fat	1	30	30	29	30	30	29	58.1	58.1	57.1	77.865	700	700	5.6	4	5	8	10	13	45	23	13	0	323.31	58.1	28921000000	28921000000	126				3290	1986;2283;2511;2976;3754;5992;6352;8483;8630;10074;10796;10875;12630;13232;14517;14723;14855;15732;16792;17316;18116;18925;19286;25464;25508;25843;26061;26107;27088;29822	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2113;2426;2661;3139;3950;6277;6652;8869;9018;10556;11298;11378;13200;13819;15148;15362;15503;16430;17527;18109;18110;19076;19933;20300;20301;26758;26805;27161;27388;27442;27443;28481;31359	6442;7244;7245;7775;8929;8930;8931;8932;10781;10782;10783;16783;16784;17777;17778;17779;17780;17781;17782;23715;23716;24104;24105;24106;24107;24108;24109;24110;24111;24112;24113;28712;28713;28714;28715;28716;28717;28718;28719;30656;30657;30658;30878;30879;30880;30881;30882;30883;30884;35760;35761;35762;35763;35764;35765;35766;35767;35768;35769;37344;40534;41107;41108;41109;41110;41543;41544;41545;41546;41547;41548;41549;41550;41551;43942;46930;46931;46932;46933;48345;48346;48347;50461;50462;50463;50464;52488;53382;53383;53384;53385;53386;53387;53388;53389;69915;70066;70067;70068;70069;71146;71147;71148;71149;71150;71151;71152;71153;71154;71748;71892;71893;71894;74771;74772;74773;74774;74775;83106;83107;83108	7524;8419;8420;8993;10269;10270;10271;10272;12282;12283;12284;19094;19095;19096;20209;20210;20211;20212;20213;20214;20215;26884;26885;27305;27306;27307;27308;27309;27310;27311;27312;27313;27314;27315;27316;27317;32983;32984;32985;32986;32987;32988;32989;32990;35233;35234;35235;35477;35478;35479;35480;35481;35482;35483;40953;40954;40955;40956;40957;40958;40959;40960;40961;40962;42735;46209;46851;46852;46853;46854;46855;47328;47329;47330;47331;47332;47333;47334;47335;47336;49973;53449;53450;53451;53452;54997;54998;54999;57284;57285;57286;57287;59538;60560;60561;60562;60563;60564;60565;60566;60567;79052;79236;79237;79238;79239;80487;80488;80489;80490;80491;80492;80493;80494;80495;81143;81302;81303;81304;84528;84529;84530;84531;84532;94249;94250;94251	7524;8419;8993;10272;12284;19096;20212;26885;27308;32985;35234;35478;40962;42735;46209;46854;47328;49973;53452;54998;57285;59538;60562;79052;79238;80494;81143;81303;84532;94249	1449;1450;1451	59;142;561
YOR319W	YOR319W	1	1	1	>YOR319W pep:known chromosome:R64-1-1:XV:912822:913463:1 gene:YOR319W transcript:YOR319W description:U2-snRNP associated splicing factor with similarity to the mammalian splicing factor SAP49\x3b proposed to function as a U2-snRNP assembly factor along wi	1	1	1	1	1	1	1	8.9	8.9	8.9	24.503	213	213	2		1							0	8.9177	8.9	30830000	30830000	1				3291	28522	True	29984	79041	89544	89544		
YOR320C	YOR320C	4	4	4	>YOR320C pep:known chromosome:R64-1-1:XV:913619:915094:-1 gene:YOR320C transcript:YOR320C description:N-acetylglucosaminyltransferase capable of modification of N-linked glycans in the Golgi apparatus	1	4	4	4	4	4	4	7.9	7.9	7.9	57.577	491	491	6						4			0	4.5847	7.9	75169000	75169000	3				3292	6619;16871;20420;24981	True;True;True;True	6927;17609;21492;26250	18575;47150;56158;68477	21187;53690;63575;77442	21187;53690;63575;77442		
YOR321W	YOR321W	6	5	5	>YOR321W pep:known chromosome:R64-1-1:XV:916030:918291:1 gene:YOR321W transcript:YOR321W description:Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues\x3b acts in a complex wit	1	6	5	5	6	5	5	11.2	8.5	8.5	86.322	753	753	6.67						4	4	1	0	47.061	11.2	269290000	269290000	9				3293	4532;6960;8870;18677;19725;24582	True;False;True;True;True;True	4758;7281;9276;19660;20770;25828	12876;19528;24799;24800;24801;51834;54516;67274;67275;67276	14682;22224;28119;28120;28121;58781;61809;76081;76082;76083	14682;22224;28121;58781;61809;76081		
YOR322C	YOR322C	3	3	3	>YOR322C pep:known chromosome:R64-1-1:XV:918606:921062:-1 gene:YOR322C transcript:YOR322C description:Protein involved in regulating the endocytosis of plasma membrane proteins by recruiting the ubiquitin ligase Rsp5p to its target\x3b localization change	1	3	3	3	3	3	3	4.6	4.6	4.6	89.825	818	818	6.5						4	1	1	0	8.2401	4.6	112260000	112260000	6				3294	9571;19374;28526	True;True;True	10025;20391;29988	27123;27124;53568;53569;53570;79047	31098;31099;60753;60754;60755;89550	31098;60753;89550		
YOR323C	YOR323C	17	17	17	>YOR323C pep:known chromosome:R64-1-1:XV:921535:922905:-1 gene:YOR323C transcript:YOR323C description:Gamma-glutamyl phosphate reductase, catalyzes the second step in proline biosynthesis	1	17	17	17	17	17	17	48.5	48.5	48.5	49.74	456	456	4.58	7	4	5	16	20	9	3	7	0	204.48	48.5	20216000000	20216000000	73				3295	1183;3907;4685;6094;6127;6808;7877;8078;10485;10937;11783;16615;21484;23142;24495;25792;26224	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1267;4107;4913;6385;6386;6420;7125;7126;8236;8446;10980;11442;12320;17348;22597;24330;25739;27107;27569;27570	3765;3766;3767;3768;3769;3770;3771;3772;3773;3774;3775;3776;11132;11133;11134;13320;13321;13322;17037;17038;17039;17040;17132;17133;17134;19146;19147;19148;22030;22031;22032;22033;22034;22627;29903;29904;29905;29906;29907;31055;31056;31057;31058;33277;33278;46411;46412;46413;46414;46415;46416;46417;58982;58983;58984;63479;63480;67090;70976;70977;70978;70979;70980;70981;70982;70983;70984;70985;72178;72179;72180	4430;4431;4432;4433;4434;4435;4436;4437;4438;4439;4440;4441;12668;12669;12670;12671;15199;15200;15201;19366;19367;19368;19369;19472;19473;19474;21802;21803;21804;25050;25051;25052;25053;25054;25693;34401;34402;34403;34404;34405;35670;35671;35672;35673;38105;38106;52796;52797;52798;52799;52800;52801;52802;52803;66654;66655;66656;71759;71760;75883;80304;80305;80306;80307;80308;80309;80310;80311;80312;80313;81619;81620;81621;81622;81623	4438;12670;15200;19367;19473;21804;25054;25693;34401;35671;38106;52801;66655;71759;75883;80311;81622	1452;1453;1454	79;158;261
